epoch,train_loss,train_acc,train_loss_eval,train_accuracy_eval,train_balanced_accuracy,train_auprc,train_auroc,train_precision,train_recall,train_f1,train_tp,train_tn,train_fp,train_fn,lr
0,0.673802239554269,0.2907692307692308,0.6089984178543091,0.42615384615384616,0.5948717948717949,0.7619887819987814,0.848930966469428,0.29503407984420643,0.9323076923076923,0.44822485207100593,303,251,724,22,2.2088718916177512e-06
1,0.557514298529852,0.7192307692307692,0.4710941272122519,0.8776923076923077,0.8743589743589744,0.8982030313397706,0.9356465483234714,0.7085427135678392,0.8676923076923077,0.7800829875518672,282,859,116,43,3.313307837426626e-06
2,0.42831855586596895,0.8769230769230769,0.33988227801663534,0.9153846153846154,0.8974358974358975,0.9254374429901443,0.9562319526627219,0.8115942028985508,0.8615384615384616,0.835820895522388,280,910,65,45,4.4177437832355024e-06
3,0.3155605431113924,0.9207692307692308,0.23688844130152747,0.9423076923076923,0.9194871794871795,0.9500379271370516,0.9740086785009862,0.8930817610062893,0.8738461538461538,0.8833592534992224,284,941,34,41,5.522179729044377e-06
4,0.23305733714784896,0.9453846153846154,0.17813415506056376,0.943076923076923,0.9323076923076923,0.9645545307885414,0.9829301775147928,0.8680351906158358,0.9107692307692308,0.8888888888888888,296,930,45,29,6.626615674853252e-06
5,0.18660737893411092,0.9476923076923077,0.14422079424063364,0.9553846153846154,0.9507692307692308,0.9757726737109493,0.9900907297830375,0.8869565217391304,0.9415384615384615,0.9134328358208955,306,936,39,19,7.731051620662127e-06
6,0.15791349219424383,0.9561538461538461,0.10639435478619166,0.9692307692307692,0.9692307692307692,0.984855873017655,0.9943637080867851,0.9130434782608695,0.9692307692307692,0.9402985074626866,315,945,30,10,8.835487566471005e-06
7,0.1389986893960408,0.9646153846153847,0.09431598903167815,0.9653846153846154,0.9676923076923076,0.9875049977480133,0.995367258382643,0.8977272727272727,0.9723076923076923,0.9335302806499262,316,939,36,9,9.93992351227988e-06
8,0.11174993287949335,0.96,0.06735234175409589,0.9784615384615385,0.9733333333333334,0.9944412910957751,0.9980528599605523,0.9513677811550152,0.963076923076923,0.9571865443425076,313,959,16,12,1.1044359458088754e-05
9,0.09861470483953044,0.9607692307692308,0.06868442334234715,0.9761538461538461,0.98,0.9938365466676499,0.9972859960552268,0.9224137931034483,0.9876923076923076,0.9539375928677564,321,948,27,4,1.214879540389763e-05
