epoch,train_loss,train_acc,train_loss_eval,train_accuracy_eval,train_balanced_accuracy,train_auprc,train_auroc,train_precision,train_recall,train_f1,train_tp,train_tn,train_fp,train_fn,lr
10,0.0772344297951176,0.9769230769230769,0.03789389257629713,0.9869230769230769,0.9882051282051282,0.9978503280479838,0.9992804733727811,0.9583333333333334,0.9907692307692307,0.9742813918305597,322,961,14,3,1.3253231349706504e-05
11,0.06915572471916676,0.9761538461538461,0.03253060215640636,0.9892307692307692,0.9928205128205128,0.9987082185935637,0.9995897435897436,0.9587020648967551,1.0,0.9789156626506024,325,961,14,0,1.4357667295515382e-05
12,0.06041559774339909,0.9776923076923076,0.035669141803823766,0.9861538461538462,0.9887179487179487,0.9975399650387273,0.9992078895463511,0.9528023598820059,0.9938461538461538,0.9728915662650602,323,959,16,2,1.5462103241324254e-05
13,0.036973628703327405,0.9876923076923076,0.036837715101206585,0.9815384615384616,0.9876923076923076,0.9992138561918729,0.9997412228796844,0.9312320916905444,1.0,0.9643916913946587,325,951,24,0,1.656653918713313e-05
14,0.04397814791826975,0.9853846153846154,0.0168927033941838,0.9976923076923077,0.9964102564102564,0.9995622572960009,0.9998611439842209,0.9969135802469136,0.9938461538461538,0.9953775038520801,323,974,1,2,1.767097513294201e-05
15,0.035446966776535624,0.9892307692307692,0.01774022581854037,0.9907692307692307,0.9938461538461538,0.9999623040699193,0.9999873767258383,0.9643916913946587,1.0,0.9818731117824774,325,963,12,0,1.8775411078750882e-05
16,0.01995262306272274,0.9953846153846154,0.015216085577516683,0.9961538461538462,0.9933333333333333,0.999867642391552,0.9999558185404339,0.9968944099378882,0.9876923076923076,0.9922720247295209,321,974,1,4,1.987984702455976e-05
17,0.03551673878072983,0.9892307692307692,0.013418402278884536,0.9946153846153846,0.9964102564102564,0.9997985783116279,0.9999337278106508,0.9789156626506024,1.0,0.989345509893455,325,968,7,0,2.098428297036863e-05
18,0.03600913931482604,0.9861538461538462,0.041529653660420864,0.9923076923076923,0.9856410256410256,0.9996515614014867,0.9998832347140039,0.9968454258675079,0.9723076923076923,0.9844236760124611,316,974,1,9,2.2088718916177507e-05
19,0.07423171032929704,0.9692307692307692,0.04325551815175762,0.9907692307692307,0.9846153846153847,0.9985688752856107,0.9994856015779092,0.9905956112852664,0.9723076923076923,0.9813664596273292,316,972,3,9,2.3193154861986387e-05
20,0.06017403743628945,0.98,0.03184343865030401,0.9946153846153846,0.9902564102564102,0.9994407017756587,0.9998074950690335,0.996875,0.9815384615384616,0.9891472868217054,319,974,1,6,2.429759080779526e-05
21,0.03780821245163679,0.9923076923076923,0.012645569729751773,0.9969230769230769,0.9969230769230769,0.9996184947128344,0.99985483234714,0.9908256880733946,0.9969230769230769,0.9938650306748467,324,972,3,1,2.5402026753604135e-05
22,0.022867878466578468,0.9915384615384616,0.010366474034353382,0.9953846153846154,0.9969230769230769,0.9999810941300323,0.9999936883629191,0.9818731117824774,1.0,0.9908536585365854,325,969,6,0,2.6506462699413008e-05
23,0.02571915779706268,0.9946153846153846,0.006243446426066969,0.9992307692307693,0.9984615384615385,1.0,1.0,1.0,0.9969230769230769,0.9984591679506933,324,975,0,1,2.7610898645221884e-05
24,0.020790939086249897,0.9946153846153846,0.0021415024668732215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,975,0,0,2.8715334591030763e-05
25,0.01260734933783256,0.9969230769230769,0.0008764226361000467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,975,0,0,2.9819770536839633e-05
26,0.003949413175827691,1.0,0.0008254424291884615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,975,0,0,3.092420648264851e-05
27,0.016395319114616586,0.9953846153846154,0.0025519751222981583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,975,0,0,3.202864242845739e-05
28,0.03963133567456333,0.9876923076923076,0.0106013660607416,0.9976923076923077,0.9984615384615385,0.9999620713762314,0.9999873767258383,0.9908536585365854,1.0,0.9954058192955589,325,972,3,0,3.313307837426626e-05
29,0.03889075442705126,0.9853846153846154,0.015280897607139889,0.9969230769230769,0.995897435897436,0.9998602838068626,0.9999526627218934,0.9938461538461538,0.9938461538461538,0.9938461538461538,323,973,2,2,3.423751432007514e-05
30,0.03995571297682112,0.9838461538461538,0.026130106882192194,0.9892307692307692,0.9928205128205128,0.9996233630703795,0.9998769230769231,0.9587020648967551,1.0,0.9789156626506024,325,961,14,0,3.534195026588402e-05
31,0.018175555814412377,0.9930769230769231,0.0045847576499606175,0.9992307692307693,0.9994871794871795,0.9999905615856536,0.9999968441814595,0.9969325153374233,1.0,0.9984639016897081,325,974,1,0,3.6446386211692885e-05
32,0.012980413096513422,0.9961538461538462,0.006339244394829231,0.9961538461538462,0.9974358974358974,1.0,1.0,0.9848484848484849,1.0,0.9923664122137404,325,970,5,0,3.7550822157501765e-05
33,0.020392460803989144,0.9946153846153846,0.006428784161384794,0.9992307692307693,0.9984615384615385,0.9999811808986121,0.9999936883629191,1.0,0.9969230769230769,0.9984591679506933,324,975,0,1,3.865525810331064e-05
34,0.01974660331671614,0.9969230769230769,0.010021036743031194,0.9969230769230769,0.995897435897436,0.9996378003176749,0.9998832347140039,0.9938461538461538,0.9938461538461538,0.9938461538461538,323,973,2,2,3.975969404911952e-05
35,0.05938709557743832,0.9846153846153847,0.004743402862610917,0.9992307692307693,0.9994871794871795,1.0,1.0,0.9969325153374233,1.0,0.9984639016897081,325,974,1,0,4.0864129994928396e-05
36,0.021678165721130512,0.9946153846153846,0.002855295839253813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,975,0,0,4.196856594073726e-05
37,0.009096097799816303,0.9992307692307693,0.0023080217139241064,0.9992307692307693,0.9994871794871795,0.9999810941300324,0.9999936883629191,0.9969325153374233,1.0,0.9984639016897081,325,974,1,0,4.307300188654614e-05
38,0.010000288314629523,0.9984615384615385,0.0038140542830140995,0.9976923076923077,0.9984615384615385,1.0,1.0,0.9908536585365854,1.0,0.9954058192955589,325,972,3,0,4.4177437832355014e-05
39,0.027508082733090435,0.9938461538461538,0.0037918758656208715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,325,975,0,0,4.5281873778163894e-05
40,0.057719161722897774,0.9892307692307692,0.013759325912577055,0.9976923076923077,0.9974358974358974,0.9997802887506764,0.99992741617357,0.9938650306748467,0.9969230769230769,0.9953917050691244,324,973,2,1,4.638630972397277e-05
41,0.02984325767361692,0.99,0.007748081531774785,0.9969230769230769,0.9969230769230769,0.99995337995338,0.9999842209072979,0.9908256880733946,0.9969230769230769,0.9938650306748467,324,972,3,1,4.749074566978164e-05
42,0.02529132448225504,0.9907692307692307,0.0317302483170005,0.9953846153846154,0.9907692307692308,0.99990604439493,0.9999684418145957,1.0,0.9815384615384616,0.9906832298136646,319,975,0,6,4.859518161559052e-05
43,0.041751061782373915,0.9869230769230769,0.042134069565994046,0.9823076923076923,0.9861538461538462,0.9981139194652456,0.9993562130177515,0.938953488372093,0.9938461538461538,0.9656203288490284,323,954,21,2,4.969961756139939e-05
44,0.03218621606495054,0.9861538461538462,0.01925420222271766,0.9976923076923077,0.9953846153846153,0.9996962139881964,0.9998927021696252,1.0,0.9907692307692307,0.9953632148377125,322,975,0,3,5.080405350720827e-05
45,0.009473747357593052,0.9969230769230769,0.012339200705312015,0.9946153846153846,0.9964102564102564,1.0,1.0,0.9789156626506024,1.0,0.989345509893455,325,968,7,0,5.190848945301715e-05
46,0.008141527711857287,0.9969230769230769,0.008722040372612398,0.9938461538461538,0.995897435897436,1.0,1.0,0.975975975975976,1.0,0.9878419452887538,325,967,8,0,5.3012925398826016e-05
47,0.015448765351071156,0.9953846153846154,0.011932633821353582,0.9930769230769231,0.9953846153846153,0.9999155682134446,0.9999715976331361,0.9730538922155688,1.0,0.9863429438543247,325,966,9,0,5.4117361344634895e-05
48,0.039374483427742406,0.9915384615384616,0.05844243500559103,0.97,0.98,0.9998293334362685,0.9999431952662722,0.8928571428571429,1.0,0.9433962264150944,325,936,39,0,5.522179729044377e-05
49,0.07352373083787304,0.9761538461538461,0.052824957972569836,0.9907692307692307,0.9835897435897436,0.9983353689456775,0.9994130177514793,0.9936908517350158,0.9692307692307692,0.9813084112149533,315,973,2,10,5.632623323625265e-05
