epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr,train_sec,train_img_per_sec,val_sec,val_img_per_sec,cuda_max_mem_bytes
0,0.6744975186884403,0.297029702970297,0.6559468448162079,0.5103448275862069,0.6144736842105263,0.849421052631579,0.8369266133725459,0.40948275862068967,0.95,0.572289156626506,53,137,5,95,3.125e-06,7.272605600000134,138.87732341761821,0.7535158999999112,384.8624826629858,4205081600
1,0.5670989826321602,0.7237623762376237,0.46176513433456423,0.9689655172413794,0.9621052631578947,0.9935789473684211,0.9893332741144447,0.9690721649484536,0.94,0.9543147208121827,187,3,6,94,4.6875e-06,6.819128899999896,148.11275968108117,0.7963118000000122,364.1789560320411,4205081600
2,0.449938777834177,0.8613861386138614,0.2892532467842102,0.9793103448275862,0.9723684210526315,0.9992105263157895,0.9985060886977051,0.9895833333333334,0.95,0.9693877551020408,189,1,5,95,6.25e-06,6.907821700000113,146.21106969219883,0.7716093000001365,375.8378754635911,4205081600
3,0.33992079365998507,0.9138613861386139,0.19956352114677428,0.9724137931034482,0.9647368421052631,0.9986842105263158,0.9975236529369709,0.9791666666666666,0.94,0.9591836734693877,188,2,6,94,7.8125e-06,7.007489999999962,144.13149358757636,0.7437322999999196,389.92524595211387,4205081600
4,0.2622107770293951,0.9316831683168317,0.17201210111379622,0.9517241379310345,0.9323684210526315,0.9947894736842104,0.9910970016369802,0.9886363636363636,0.87,0.925531914893617,189,1,13,87,9.375e-06,7.019246099999918,143.89009668716585,0.7526556000000255,385.3023879713247,4205081600
5,0.20479732332751155,0.9425742574257425,0.17177868038415908,0.9620689655172414,0.9568421052631579,0.9895263157894737,0.9847527108097645,0.9494949494949495,0.94,0.9447236180904522,185,5,6,94,1.09375e-05,6.941547599999922,145.50069497470727,0.7684033000000454,377.4059793860631,4205081600
6,0.15466813277453184,0.9564356435643564,0.1971954010426998,0.9517241379310345,0.9442105263157895,0.9703157894736842,0.9699698307561782,0.9387755102040817,0.92,0.9292929292929293,184,6,8,92,1.25e-05,6.950070800000049,145.32226060200608,0.8048040000001038,360.3361812316572,4205081600
7,0.13431596453301609,0.9594059405940594,0.22482850588858128,0.9103448275862069,0.8723684210526316,0.9599473684210527,0.9554894571300405,0.9868421052631579,0.75,0.8522727272727273,189,1,25,75,1.4062500000000001e-05,6.978144499999871,144.73761613850482,0.7503904000000148,386.4654984925104,4205081600
8,0.10077914362773299,0.9603960396039604,0.17775650564581155,0.9379310344827586,0.9123684210526315,0.9842631578947367,0.9775617226739778,0.9880952380952381,0.83,0.9021739130434783,189,1,17,83,1.5625e-05,6.943990400000075,145.44950983803045,0.8099271999999473,358.0568722720003,4205081600
9,0.08312145667150617,0.9752475247524752,0.16678794529289007,0.9517241379310345,0.9323684210526315,0.9715789473684211,0.9697464536318503,0.9886363636363636,0.87,0.925531914893617,189,1,13,87,1.71875e-05,6.9553324000000885,145.21232658844417,0.7603211000000556,381.41779834859085,4205081600
10,0.07176018669269979,0.9792079207920792,0.22404212690889835,0.9379310344827586,0.9123684210526315,0.9621578947368421,0.9576854600385116,0.9880952380952381,0.83,0.9021739130434783,189,1,17,83,1.875e-05,7.011376899999959,144.05159135005363,0.7629105000000891,380.12322546349293,4205081600
11,0.061921736341901124,0.9811881188118812,0.278691831137985,0.9103448275862069,0.8723684210526316,0.9724736842105263,0.9659931471820223,0.9868421052631579,0.75,0.8522727272727273,189,1,25,75,2.0312500000000002e-05,6.984564799999816,144.6045714974291,0.758386900000005,382.39057135612194,4205081600
12,0.07990843814332038,0.9722772277227723,0.16284479815512895,0.9482758620689655,0.9486842105263158,0.9902105263157894,0.9862256424481678,0.9047619047619048,0.95,0.926829268292683,180,10,5,95,2.1875e-05,6.879139500000065,146.82068883760687,0.7567810999998983,383.20195892846556,4205081600
13,0.0583375534042716,0.9821782178217822,0.26060267388820646,0.9241379310344827,0.8994736842105263,0.9596315789473683,0.9537825218560941,0.9534883720930233,0.82,0.8817204301075269,186,4,18,82,2.34375e-05,6.975445799999989,144.79361304764228,0.7716786999999385,375.8040749343258,4205081600
14,0.042546510172542185,0.9881188118811881,0.5150522766401991,0.8931034482758621,0.8473684210526315,0.9248421052631578,0.9178342355290481,0.9859154929577465,0.7,0.8187134502923976,189,1,30,70,2.5e-05,7.054114100000106,143.17885785260899,0.7812377000000197,371.20584426480275,4205081600
15,0.04343246476491913,0.9861386138613861,0.1593899300904013,0.9517241379310345,0.9323684210526315,0.9898947368421053,0.9844276940274644,0.9886363636363636,0.87,0.925531914893617,189,1,13,87,2.65625e-05,7.0043415000000095,144.1962816918619,0.7846391000000494,369.5966718966487,4205081600
