epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr
0,0.3717127661494648,0.8796296296296297,6.020656555891037,0.25,0.44555912252541463,0.46930176565008025,0.24003488506986762,0.1711229946524064,0.7619047619047619,0.2794759825327511,23,155,10,32,0.0009990133642141358
1,0.15331750143976772,0.9592592592592593,2.1110410764813423,0.4409090909090909,0.399812734082397,0.4713081861958266,0.26703852250564813,0.12844036697247707,0.3333333333333333,0.18543046357615894,83,95,28,14,0.000996057350657239
2,0.1582467289751067,0.9629629629629629,0.508986895903945,0.8227272727272728,0.5902889245585875,0.7569555912252541,0.5230012500145036,0.6,0.21428571428571427,0.3157894736842105,172,6,33,9,0.0009911436253643444
3,0.14784756302833557,0.9490740740740741,1.0015363842248917,0.8,0.8127340823970037,0.8677100053504548,0.7247118412403728,0.4861111111111111,0.8333333333333334,0.6140350877192983,141,37,7,35,0.0009842915805643156
4,0.13891958839753094,0.9546296296296296,0.3269385136663914,0.8590909090909091,0.7310058855002675,0.8983413590155163,0.7203520963404393,0.6666666666666666,0.5238095238095238,0.5866666666666667,167,11,20,22,0.0009755282581475769
5,0.1114551564130713,0.9657407407407408,0.37745672557502985,0.85,0.625334403424291,0.9055644729802033,0.7496114455945768,0.8461538461538461,0.2619047619047619,0.4,176,2,31,11,0.0009648882429441258
6,0.0766994405318709,0.9740740740740741,0.3406829722225666,0.8954545454545455,0.7534777956126271,0.9146602461209203,0.77810622690698,0.88,0.5238095238095238,0.6567164179104478,175,3,20,22,0.0009524135262330099
7,0.10039209256715634,0.9722222222222222,0.5830913102254272,0.8545454545454545,0.6190476190476191,0.8406902086677368,0.7222656863052209,1.0,0.23809523809523808,0.38461538461538464,178,0,32,10,0.0009381533400219318
8,0.10067200989407651,0.9694444444444444,0.2892781253904104,0.9090909090909091,0.8073836276083468,0.9225521669341894,0.8257067188413647,0.84375,0.6428571428571429,0.7297297297297297,173,5,15,27,0.0009221639627510075
9,0.06612126562086974,0.9796296296296296,0.530847059795633,0.8454545454545455,0.5952380952380952,0.8667736757624398,0.7051529944305438,1.0,0.19047619047619047,0.32,178,0,34,8,0.0009045084971874736
10,0.055476289160330504,0.9777777777777777,0.444115137681365,0.8636363636363636,0.6883360085607277,0.8184858212948101,0.631087551256373,0.7727272727272727,0.40476190476190477,0.53125,173,5,25,17,0.0008852566213878945
11,0.0716908920885009,0.9731481481481481,0.7582484835293144,0.8681818181818182,0.6547619047619048,0.5333065810593901,0.5100608225967368,1.0,0.30952380952380953,0.4727272727272727,178,0,29,13,0.0008644843137107056
