epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr,train_sec,train_img_per_sec,val_sec,val_img_per_sec,cuda_max_mem_bytes
0,0.6917183564768897,0.26146788990825687,0.6273065954446793,0.5952380952380952,0.6386330140014738,0.9095431098010316,0.8950507939303647,0.52,0.9891304347826086,0.6816479400749064,34,84,1,91,2.777777777777778e-06,7.68820629999982,141.77559205194916,0.5385384999999587,389.944265823179,4202470400
1,0.5741293794578977,0.7614678899082569,0.4872170016169548,0.8809523809523809,0.8916728076639646,0.9818533529845246,0.9752973572784578,0.7964601769911505,0.9782608695652174,0.8780487804878049,95,23,2,90,4.166666666666667e-06,7.345915200000036,148.38178366121008,0.5578097999996317,376.47241048855483,4202470400
2,0.4525281141201655,0.8678899082568807,0.37243039533495903,0.8952380952380953,0.9067796610169492,0.9954863669859985,0.9938332813952347,0.8070175438596491,1.0,0.8932038834951457,96,22,0,92,5.555555555555556e-06,7.474255600000106,145.8339209057802,0.5818973000000369,360.88842481308416,4202470400
3,0.3466104438735379,0.8862385321100917,0.3224095068871975,0.8952380952380953,0.9067796610169492,0.9957627118644068,0.9947348316029554,0.8070175438596491,1.0,0.8932038834951457,96,22,0,92,6.944444444444444e-06,7.385938100000203,147.57773288134788,0.5805853000001662,361.70395633499487,4202470400
4,0.25692834829290706,0.9302752293577982,0.41394536569714546,0.8523809523809524,0.8686440677966102,0.9991709653647752,0.9989478100421163,0.7479674796747967,1.0,0.8558139534883721,87,31,0,92,8.333333333333334e-06,7.451821100000416,146.27296943561075,0.5897500999999465,356.08302567480536,4202470400
5,0.19797581848171023,0.9330275229357798,0.3002210007980466,0.8857142857142857,0.8983050847457628,0.9983419307295505,0.9980627751311585,0.7931034482758621,1.0,0.8846153846153846,94,24,0,92,9.722222222222223e-06,7.489829999999984,145.53067292582108,0.615386700000272,341.24884401939005,4202470400
6,0.1625320033894645,0.9477064220183486,0.37462352542206645,0.8809523809523809,0.8940677966101696,0.9995394252026529,0.9994397131331242,0.7863247863247863,1.0,0.8803827751196173,93,25,0,92,1.1111111111111112e-05,7.492828599999939,145.47243213330796,0.5424170000001141,387.1560072784515,4202470400
7,0.1397761824644274,0.9522935779816514,0.3601806147489697,0.8809523809523809,0.8940677966101696,0.9997236551215918,0.9996455297350171,0.7863247863247863,1.0,0.8803827751196173,93,25,0,92,1.25e-05,7.46177710000029,146.07780229725137,0.589752899999894,356.081335081248,4202470400
8,0.11081778092516793,0.9623853211009175,0.31870076968334615,0.8904761904761904,0.902542372881356,0.9997236551215917,0.9996567505720825,0.8,1.0,0.8888888888888888,95,23,0,92,1.3888888888888888e-05,7.407998199999838,147.13826469342607,0.5763161999998374,364.3833020832301,4202470400
9,0.10613199051780005,0.9577981651376147,0.23292642505839467,0.9095238095238095,0.9194915254237288,0.9985261606484893,0.998107800517132,0.8288288288288288,1.0,0.9064039408866995,99,19,0,92,1.5277777777777777e-05,7.393318800000088,147.43040703181728,0.5581007000000682,376.27618098306334,4202470400
