epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr,train_sec,train_img_per_sec,val_sec,val_img_per_sec,cuda_max_mem_bytes
0,0.5826927907764912,0.80990099009901,0.5479516983032227,0.7724137931034483,0.6889400921658986,0.7497119815668203,0.4248531381176636,0.3333333333333333,0.5714285714285714,0.42105263157894735,200,48,18,24,3.125e-06,12.739636799999971,79.28012516024023,1.992272999999841,145.56238025613115,4202534912
1,0.4658282995223999,0.8445544554455445,0.44377214312553404,0.8310344827586207,0.7034370199692781,0.7877304147465437,0.5217953826668454,0.43137254901960786,0.5238095238095238,0.4731182795698925,219,29,20,22,4.6875e-06,12.375493400000778,81.61290765182231,1.8571822000003522,156.15053816472343,4202534912
2,0.3169313073158264,0.9198019801980198,0.35969302952289584,0.8689655172413793,0.7453917050691243,0.7957949308755761,0.5594472115003903,0.5454545454545454,0.5714285714285714,0.5581395348837209,228,20,18,24,6.25e-06,12.423986599999807,81.29435683712148,1.8492043000005651,156.82420812016898,4202534912
3,0.22272917814552784,0.9386138613861386,0.33310321867465975,0.8689655172413793,0.765168970814132,0.8324692780337942,0.6093325544178568,0.5416666666666666,0.6190476190476191,0.5777777777777777,226,22,16,26,7.8125e-06,12.807239800000389,78.8616451141931,2.180771299999833,132.98047346827346,4202534912
4,0.16014099633321166,0.9524752475247524,0.43092164397239685,0.8310344827586207,0.7924347158218126,0.848790322580645,0.6274913949906632,0.4492753623188406,0.7380952380952381,0.5585585585585585,210,38,11,31,9.375e-06,12.944804099999601,78.02358322286477,1.907694900000024,152.01592246223248,4202534912
5,0.11632363987155259,0.9673267326732673,0.27594478279352186,0.903448275862069,0.8149961597542243,0.8809523809523809,0.6873822496829423,0.6590909090909091,0.6904761904761905,0.6744186046511628,233,15,13,29,1.09375e-05,12.506070399999771,80.7607799808978,1.935322599999381,149.84581898650526,4202534912
6,0.09773790719918907,0.9732673267326732,0.35952973663806914,0.8655172413793103,0.8224846390168971,0.8735599078341014,0.680659961582404,0.5245901639344263,0.7619047619047619,0.6213592233009708,219,29,10,32,1.25e-05,12.985953899999913,77.7763426374097,2.020328900000095,143.54098483667008,4202534912
7,0.07479502190835774,0.9782178217821782,0.2795429915189743,0.906896551724138,0.8664554531490015,0.9074500768049154,0.7295005914275621,0.6415094339622641,0.8095238095238095,0.7157894736842105,229,19,8,34,1.4062500000000001e-05,12.521343999999772,80.66226756488908,1.823964899999737,158.99428766422085,4202534912
8,0.06765800417633727,0.9772277227722772,0.2797441199421883,0.903448275862069,0.8644393241167434,0.9150345622119815,0.7283719860033853,0.6296296296296297,0.8095238095238095,0.7083333333333334,228,20,8,34,1.5625e-05,12.903189399999974,78.2752208535358,1.8518700000004173,156.59846533500442,4202534912
9,0.05713353957980871,0.9762376237623762,0.27656334061175586,0.9206896551724137,0.7459677419354839,0.9197388632872503,0.7939988728641978,0.9130434782608695,0.5,0.6461538461538462,246,2,21,21,1.71875e-05,12.858085500000016,78.54979654630534,2.036485800000264,142.40217142685816,4202534912
10,0.05623070150613785,0.9752475247524752,0.27590279206633567,0.9241379310344827,0.8172043010752688,0.920410906298003,0.7438657330999605,0.7777777777777778,0.6666666666666666,0.717948717948718,240,8,14,28,1.875e-05,12.671035100000154,79.70935223752855,1.9432027000002563,149.23816233888607,4202534912
11,0.04476884234463796,0.9831683168316832,0.3449813470244408,0.896551724137931,0.880184331797235,0.9392281105990783,0.7489333840913959,0.6,0.8571428571428571,0.7058823529411765,224,24,6,36,2.0312500000000002e-05,12.508272099999886,80.74656450749974,1.8336893999994572,158.15110236231166,4202534912
12,0.03913565832772292,0.9891089108910891,0.2888688386417925,0.9137931034482759,0.8111559139784946,0.9427803379416282,0.7560567607449304,0.717948717948718,0.6666666666666666,0.691358024691358,237,11,14,28,2.1875e-05,12.354983199999879,81.74839120784964,2.1588962000005267,134.32790330536932,4202534912
13,0.05315666092792526,0.9891089108910891,0.476770440582186,0.8931034482758621,0.6408410138248848,0.9111943164362518,0.7049548299373685,0.9230769230769231,0.2857142857142857,0.43636363636363634,247,1,30,12,2.34375e-05,13.039413299999978,77.45747272233496,2.0539874999994936,141.18878522876673,4202534912
14,0.03296423755818978,0.9900990099009901,0.40707194413989783,0.903448275862069,0.7952188940092166,0.8866167434715823,0.6787513076608667,0.675,0.6428571428571429,0.6585365853658537,235,13,15,27,2.5e-05,12.46994259999974,80.99475935037752,2.0611267000003863,140.6997444649791,4202534912
15,0.05492200260050595,0.9792079207920792,0.44807601626962423,0.8896551724137931,0.688268049155146,0.9218509984639016,0.6696240776954824,0.7083333333333334,0.40476190476190477,0.5151515151515151,241,7,25,17,2.65625e-05,12.731538600000022,79.33055318231516,2.1845350000003236,132.75136356247762,4202534912
16,0.031120743340579793,0.9910891089108911,0.29812517687678336,0.9137931034482759,0.8210445468509985,0.9447004608294931,0.7524825550292576,0.7073170731707317,0.6904761904761905,0.6987951807228916,236,12,13,29,2.8125000000000003e-05,13.458984500000042,75.04280876465805,1.8096716999998534,160.25006082596278,4202534912
17,0.027544279699213803,0.9930693069306931,0.6541082200128585,0.8758620689655172,0.5813172043010753,0.9123463901689708,0.7335306188914716,0.875,0.16666666666666666,0.28,247,1,35,7,2.96875e-05,12.388116699999955,81.52974535669362,1.9760556000001088,146.757004205744,4202534912
18,0.02320602908730507,0.9930693069306931,0.31000704490579667,0.9206896551724137,0.8052995391705069,0.9365399385560675,0.7659095583947597,0.7714285714285715,0.6428571428571429,0.7012987012987013,240,8,15,27,3.125e-05,12.63601540000036,79.93026029391918,2.2536651000000347,128.67927892214132,4202534912
19,0.010672808362869546,0.998019801980198,0.4645059407921508,0.8896551724137931,0.6684907834101382,0.9294354838709676,0.7656648751652247,0.75,0.35714285714285715,0.4838709677419355,243,5,27,15,3.2812500000000005e-05,12.411331100000098,81.37725050296918,1.9305686000006972,150.21481236144382,4202534912
20,0.02704220906161936,0.9920792079207921,0.40332059264183046,0.8896551724137931,0.8563748079877112,0.9394201228878648,0.7705355363244248,0.5862068965517241,0.8095238095238095,0.68,224,24,8,34,3.4375e-05,12.615125599999374,80.0626194320293,2.0294972000001508,142.89253515598762,4202534912
