epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr,train_sec,train_img_per_sec,val_sec,val_img_per_sec,cuda_max_mem_bytes
0,0.612090203911066,0.806930693069307,0.48283588886260986,0.8689655172413793,0.838421052631579,0.9538947368421054,0.9099188395657956,0.8604651162790697,0.74,0.7956989247311828,178,12,26,74,3.125e-06,15.0657384,67.03952857697303,1.4830447000000007,195.54366769929447,4203396096
1,0.5196836460381746,0.808910891089109,0.3573461979627609,0.9448275862068966,0.9389473684210526,0.988,0.9750527740704439,0.92,0.92,0.92,182,8,8,92,4.6875e-06,14.580855200000002,69.26891366426847,1.5330274000000088,189.16817794645962,4203461120
2,0.4126069862395525,0.8801980198019802,0.21349524855613708,0.9793103448275862,0.9771052631578947,0.9987894736842106,0.9976507204215964,0.97,0.97,0.97,187,3,3,97,6.25e-06,14.422653299999993,70.0287234943102,1.5375848000000047,188.60748363277207,4203461120
3,0.3227233737707138,0.9,0.1521182104945183,0.9758620689655172,0.9697368421052631,0.9987368421052631,0.9975504480816239,0.979381443298969,0.95,0.9644670050761421,188,2,5,95,7.8125e-06,14.706576400000003,68.6767587866337,1.479054199999993,196.07124607063173,4203461120
4,0.26120946276932955,0.9118811881188119,0.13363957405090332,0.9862068965517241,0.9894736842105263,0.9995263157894737,0.9991260249998114,0.9615384615384616,1.0,0.9803921568627451,186,4,0,100,9.375e-06,14.623874900000004,69.0651422353182,1.5125071000000077,191.73463714649574,4203461120
5,0.23951399279758334,0.901980198019802,0.14098603501915932,0.9724137931034482,0.9718421052631578,0.9956842105263157,0.9924669325079408,0.9509803921568627,0.97,0.9603960396039604,185,5,3,97,1.09375e-05,14.618092499999989,69.09246196109382,1.5502092000000118,187.07152557216006,4203461120
6,0.17685367702506483,0.9326732673267327,0.15703251957893372,0.9413793103448276,0.9481578947368421,0.9950526315789473,0.9914967842249665,0.8738738738738738,0.97,0.919431279620853,176,14,3,97,1.25e-05,14.5827448,69.2599379507759,1.5088776999999993,192.1958287275371,4203461120
7,0.13785547763109207,0.9534653465346534,0.151082181930542,0.9482758620689655,0.953421052631579,0.9935263157894737,0.9900420518430586,0.8899082568807339,0.97,0.9282296650717703,178,12,3,97,1.4062500000000001e-05,14.774005499999987,68.36331555447173,1.5291931000000147,189.64249838689256,4203461120
8,0.111501689767465,0.9623762376237623,0.13961892612278462,0.9448275862068966,0.9365789473684211,0.988,0.9821907159036699,0.9285714285714286,0.91,0.9191919191919192,183,7,9,91,1.5625e-05,14.54132610000002,69.45721408448426,1.5455445000000054,187.6361372965961,4203461120
9,0.08969511557370424,0.9643564356435643,0.12625244166702032,0.9551724137931035,0.935,0.9932105263157894,0.9894550759182419,1.0,0.87,0.93048128342246,190,0,13,87,1.71875e-05,14.941918799999996,67.59506683974217,1.6208991000000026,178.9130489368521,4203461120
10,0.06696768326219171,0.9821782178217822,0.24504665061831474,0.9206896551724137,0.9063157894736842,0.9611052631578947,0.9549549617996649,0.9052631578947369,0.86,0.882051282051282,181,9,14,86,1.875e-05,14.913121400000023,67.72559365070269,1.5516506000000163,186.8977461807426,4203461120
11,0.08092911000130698,0.9643564356435643,0.26501522967591884,0.9275862068965517,0.9021052631578947,0.9660526315789474,0.9600671560869095,0.9647058823529412,0.82,0.8864864864864865,187,3,18,82,2.0312500000000002e-05,14.793243000000018,68.27441420383609,1.5754319000000123,184.0765062583776,4203461120
12,0.060484669054858387,0.9801980198019802,0.28350643888115884,0.903448275862069,0.8955263157894737,0.9721052631578947,0.9616831820185102,0.8529411764705882,0.87,0.8613861386138614,175,15,13,87,2.1875e-05,14.879511000000008,67.87857477305535,1.5240124999999978,190.28715315655248,4203461120
13,0.06259625707753003,0.9792079207920792,0.327855513500981,0.9206896551724137,0.885,0.978421052631579,0.9694809934689765,1.0,0.77,0.8700564971751412,190,0,23,77,2.34375e-05,14.744317199999983,68.50096795258862,1.551426900000024,186.92469493728353,4203461120
14,0.04957855533575639,0.9821782178217822,0.1884905722923577,0.9379310344827586,0.9218421052631579,0.9865789473684211,0.9781319894319225,0.9456521739130435,0.87,0.90625,185,5,13,87,2.5e-05,19.416564300000005,52.0174416232845,3.333495800000037,86.99575982666508,4203461120
15,0.032892982504563406,0.9900990099009901,0.23954825727269052,0.9310344827586207,0.9189473684210526,0.9835263157894737,0.9763277251225281,0.9166666666666666,0.88,0.8979591836734694,182,8,12,88,2.65625e-05,26.232435599999974,38.50195290291691,2.1390379000000053,135.57497041076238,4203461120
16,0.024765874113654718,0.9930693069306931,0.2828969360794872,0.9344827586206896,0.9073684210526316,0.9718421052631578,0.9680528787570768,0.9879518072289156,0.82,0.8961748633879781,189,1,18,82,2.8125000000000003e-05,17.808338600000013,56.71500428456584,2.128053100000045,136.27479502273408,4203461120
17,0.029235093941679224,0.9881188118811881,0.4383932291297242,0.906896551724138,0.865,0.9714736842105263,0.9655650690230219,1.0,0.73,0.8439306358381503,190,0,27,73,2.96875e-05,17.8783272,56.49298106592433,2.1063085000000115,137.68163590471121,4203461120
18,0.06265043109306134,0.9792079207920792,0.2704605594743043,0.9206896551724137,0.901578947368421,0.9725789473684211,0.9594496576334226,0.9230769230769231,0.84,0.8795811518324608,183,7,16,84,3.125e-05,17.637585100000024,57.264075227622776,2.115717200000006,137.06935879710161,4203461120
19,0.07099304918665439,0.9742574257425742,0.13955805324949325,0.9620689655172414,0.9450000000000001,0.9952105263157894,0.9926310566122971,1.0,0.89,0.9417989417989417,190,0,11,89,3.2812500000000005e-05,17.670881099999974,57.1561765530753,2.083967800000039,139.15762038165587,4203461120
20,0.05994655596441589,0.9702970297029703,0.22060056775808334,0.9275862068965517,0.9092105263157895,0.9802105263157895,0.971359550070752,0.9340659340659341,0.85,0.8900523560209425,184,6,15,85,3.4375e-05,7.541841299999987,133.91955091921673,0.8176512000000002,354.6744626559588,4203461120
21,0.036696494673378766,0.9891089108910891,0.20792381316423417,0.9379310344827586,0.9289473684210526,0.9832105263157894,0.9756344162158256,0.9183673469387755,0.9,0.9090909090909091,182,8,10,90,3.59375e-05,7.007970699999987,144.12160712943646,0.8008310999999821,362.1237986386973,4203461120
