epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr,train_sec,train_img_per_sec,val_sec,val_img_per_sec,cuda_max_mem_bytes
0,0.6450676172971725,0.7514851485148515,0.5608317852020264,0.8586206896551725,0.8824201879922093,0.9567279193835211,0.8582721957969542,0.5487804878048781,0.9183673469387755,0.6870229007633588,204,37,4,45,3.125e-06,13.25401729999976,76.203310825618,1.9012518999998065,152.5310770235283,4201617408
1,0.5160967111587524,0.8326732673267326,0.4539384186267853,0.8620689655172413,0.9088830552968075,0.9871284613430434,0.9515207134726185,0.5517241379310345,0.9795918367346939,0.7058823529411765,202,39,1,48,4.6875e-06,12.635635800000273,79.93266156024995,2.0035138000002917,144.7456962861737,4201617408
2,0.38094070740044117,0.900990099009901,0.4003398001194,0.8413793103448276,0.9045643153526971,0.9872131425184181,0.9460284695708464,0.5157894736842106,1.0,0.6805555555555556,195,46,0,49,6.25e-06,12.829144899999847,78.7269929424534,1.9054376000003685,152.19600998738764,4201617408
3,0.2672675745561719,0.9237623762376238,0.4900553017854691,0.803448275862069,0.8817427385892116,0.9784909814548226,0.8872747898165114,0.46226415094339623,1.0,0.632258064516129,184,57,0,49,7.8125e-06,12.49766980000004,80.81506522119801,2.7355623000003106,106.01111149980647,4201617408
4,0.21761320438235998,0.9287128712871288,0.5513100653886795,0.803448275862069,0.8817427385892116,0.979253112033195,0.891020314008507,0.46226415094339623,1.0,0.632258064516129,184,57,0,49,9.375e-06,12.715323800000078,79.43171687063084,2.1608885999994527,134.20404920460658,4201617408
5,0.17634545266628265,0.9485148514851485,0.49006315097212794,0.8344827586206897,0.9004149377593361,0.9820475908205606,0.9018579937255621,0.5051546391752577,1.0,0.6712328767123288,193,48,0,49,1.09375e-05,12.579984200000581,80.28626935794986,1.916412699999455,151.32439896692526,4201617408
6,0.12873313296586275,0.9564356435643564,0.680841533280909,0.7965517241379311,0.8775933609958506,0.9585909052417647,0.7376274678402014,0.4537037037037037,1.0,0.6242038216560509,182,59,0,49,1.25e-05,12.18952900000022,82.85800050190468,1.9458485999994082,149.0352332653672,4201617408
7,0.10314023029059172,0.9683168316831683,0.5408900652080775,0.8206896551724138,0.892116182572614,0.9825556778728088,0.9058548940514942,0.48514851485148514,1.0,0.6533333333333333,189,52,0,49,1.4062500000000001e-05,12.361343399999896,81.70632975053573,2.019774999999754,143.58034929635,4201617408
8,0.09149595466442406,0.9683168316831683,0.5463832666166126,0.8379310344827586,0.9024896265560166,0.9812854602421881,0.8962781158573323,0.5104166666666666,1.0,0.6758620689655173,194,47,0,49,1.5625e-05,12.946700999999848,78.01215151257543,1.9042482000004384,152.29107214066593,4201617408
9,0.0787538054282777,0.9782178217821782,0.6402947432827204,0.8172413793103448,0.8900414937759336,0.9724786180032179,0.8374999247724493,0.4803921568627451,1.0,0.6490066225165563,188,53,0,49,1.71875e-05,12.321811400000115,81.96846772058129,1.9157734999998866,151.37488852414816,4201617408
10,0.06823534169234335,0.9752475247524752,0.7984605012461543,0.8,0.8796680497925311,0.9628249640105004,0.7660059693314876,0.45794392523364486,1.0,0.6282051282051282,183,58,0,49,1.875e-05,12.643285000000105,79.88430222050611,1.9791774999994232,146.5255137551253,4201617408
