epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr
19,0.03575513872098835,0.9851851851851852,0.8168814546079375,0.8636363636363636,0.6428571428571428,0.8253076511503478,0.6869463917996853,1.0,0.2857142857142857,0.4444444444444444,178,0,30,12,0.0006545084971874735
20,0.026573749587816352,0.9861111111111112,0.6482324777171016,0.8590909090909091,0.6491439272338149,0.7724719101123594,0.6399114173779246,0.8666666666666667,0.30952380952380953,0.45614035087719296,176,2,29,13,0.0006243449435824271
21,0.018776589062968817,0.9953703703703703,1.314008413333795,0.8363636363636363,0.5805243445692884,0.6512841091492777,0.5229995015362312,0.875,0.16666666666666666,0.28,177,1,35,7,0.0005936906572928622
22,0.016690392995609298,0.9953703703703703,0.7879611902753823,0.85,0.625334403424291,0.766051364365971,0.6169269063563211,0.8461538461538461,0.2619047619047619,0.4,176,2,31,11,0.000562666616782152
23,0.0074723124408217914,1.0,0.6574080241844058,0.8727272727272727,0.6848582129481006,0.8615569823434991,0.711093650199329,0.8888888888888888,0.38095238095238093,0.5333333333333333,176,2,26,16,0.0005313952597646566
24,0.019006152592791134,0.9944444444444445,0.6942148451635148,0.8681818181818182,0.6729534510433387,0.8500535045478866,0.7298549350368237,0.8823529411764706,0.35714285714285715,0.5084745762711864,176,2,27,15,0.0004999999999999998
25,0.01899311353918165,0.9944444444444445,0.7363177197985351,0.8636363636363636,0.6792402354200107,0.8453718566078117,0.6719778587475402,0.8,0.38095238095238093,0.5161290322580645,174,4,26,16,0.00046860474023534314
26,0.023911093269228276,0.9925925925925926,0.545824921107851,0.8772727272727273,0.6967629748528625,0.9103798822899946,0.7953203557859378,0.8947368421052632,0.40476190476190477,0.5573770491803278,176,2,25,17,0.00043733338321784774
27,0.014996311067507657,0.9953703703703703,0.6185078459093347,0.8954545454545455,0.7352862493311931,0.8604868913857677,0.7493365629410162,0.9523809523809523,0.47619047619047616,0.6349206349206349,177,1,22,20,0.00040630934270713756
28,0.004403144556015511,0.9990740740740741,0.7521114660194144,0.8636363636363636,0.6519529159978599,0.8372124130551097,0.7379611354907464,0.9285714285714286,0.30952380952380953,0.4642857142857143,177,1,29,13,0.00037565505641757246
29,0.004337042142116629,0.9990740740740741,0.6415767807629891,0.8772727272727273,0.6967629748528625,0.868378812199037,0.7722125141527681,0.8947368421052632,0.40476190476190477,0.5573770491803278,176,2,25,17,0.00034549150281252633
30,0.003341598037342705,0.9990740740740741,0.6690781928773504,0.8818181818181818,0.6995719636169074,0.8865703584804707,0.7835899499932566,0.9444444444444444,0.40476190476190477,0.5666666666666667,177,1,25,17,0.00031593772365766105
31,0.002912420330925242,0.9990740740740741,0.6577713641454466,0.8863636363636364,0.7114767255216693,0.903959336543606,0.8070300089808236,0.9473684210526315,0.42857142857142855,0.5901639344262295,177,1,24,18,0.00028711035421746355
32,0.0008780628096942297,1.0,0.6757221798179671,0.8818181818181818,0.6995719636169074,0.8980738362760835,0.7997161067131747,0.9444444444444444,0.40476190476190477,0.5666666666666667,177,1,25,17,0.0002591231629491422
33,0.0014070286192958627,1.0,0.7224430069545633,0.8681818181818182,0.6638576779026217,0.8962011771000534,0.8082389958136005,0.9333333333333333,0.3333333333333333,0.49122807017543857,177,1,28,14,0.00023208660251050145
34,0.0008118278235676425,1.0,0.6686643477150938,0.8772727272727273,0.6876672017121455,0.9008828250401284,0.8140472614605532,0.9411764705882353,0.38095238095238093,0.5423728813559322,177,1,26,16,0.00020610737385376337
35,0.0015404244550154544,1.0,0.674105201731436,0.8818181818181818,0.7086677367576244,0.8925896201177099,0.7861743139494288,0.9,0.42857142857142855,0.5806451612903226,176,2,24,18,0.00018128800512565502
36,0.0008508503472994027,1.0,0.679444824490929,0.8818181818181818,0.7086677367576244,0.8900481540930979,0.7874708784596045,0.9,0.42857142857142855,0.5806451612903226,176,2,24,18,0.00015772644703565555
37,0.0007934904454433469,1.0,0.7087814799888292,0.8772727272727273,0.6967629748528625,0.8904494382022472,0.7846068052802571,0.8947368421052632,0.40476190476190477,0.5573770491803278,176,2,25,17,0.00013551568628929425
38,0.000498153616396902,1.0,0.7211995639372617,0.8727272727272727,0.6848582129481006,0.8927233814874265,0.7908371537752613,0.8888888888888888,0.38095238095238093,0.5333333333333333,176,2,26,16,0.00011474337861210535
39,0.0004372031638494638,1.0,0.6884036526753334,0.8772727272727273,0.6967629748528625,0.8974050294275013,0.79692504533005,0.8947368421052632,0.40476190476190477,0.5573770491803278,176,2,25,17,9.549150281252626e-05
40,0.0013934283453957451,0.9990740740740741,0.7985765247576637,0.8681818181818182,0.6729534510433387,0.8754681647940075,0.7696585045255985,0.8823529411764706,0.35714285714285715,0.5084745762711864,176,2,27,15,7.783603724899252e-05
41,0.0005154122405014385,1.0,0.808363859061501,0.8681818181818182,0.6729534510433387,0.8719903691813804,0.7652323932773712,0.8823529411764706,0.35714285714285715,0.5084745762711864,176,2,27,15,6.184665997806817e-05
42,0.0005383828992147327,1.0,0.7982220339035848,0.8681818181818182,0.6729534510433387,0.8735955056179775,0.7662233373947879,0.8823529411764706,0.35714285714285715,0.5084745762711864,176,2,27,15,4.7586473766990294e-05
43,0.0004919113750528434,1.0,0.8034973776811967,0.8681818181818182,0.6729534510433387,0.8782771535580525,0.7703733542548116,0.8823529411764706,0.35714285714285715,0.5084745762711864,176,2,27,15,3.5111757055874305e-05
44,0.01252170818813337,0.9990740740740741,0.8500782419869211,0.8636363636363636,0.6610486891385767,0.8579454253611557,0.7523056256891356,0.875,0.3333333333333333,0.4827586206896552,176,2,28,14,2.4471741852423218e-05
45,0.001074534660694874,1.0,0.8420200595428469,0.8636363636363636,0.6610486891385767,0.8599518459069021,0.7576159686044328,0.875,0.3333333333333333,0.4827586206896552,176,2,28,14,1.5708419435684507e-05
46,0.010459143773700549,0.9990740740740741,0.8634149362915196,0.8636363636363636,0.6610486891385767,0.8523274478330659,0.7483649687715042,0.875,0.3333333333333333,0.4827586206896552,176,2,28,14,8.856374635655634e-06
47,0.0004637553651906166,1.0,0.8345198618771974,0.8636363636363636,0.6610486891385767,0.8602193686463349,0.751835884072685,0.875,0.3333333333333333,0.4827586206896552,176,2,28,14,3.942649342761115e-06
48,0.0004281484995290692,1.0,0.8356820367916953,0.8681818181818182,0.6729534510433387,0.8614232209737827,0.7569747324270486,0.8823529411764706,0.35714285714285715,0.5084745762711864,176,2,27,15,9.866357858642198e-07
49,0.0008074237061116626,1.0,0.8846653134969529,0.8636363636363636,0.6610486891385767,0.8559390048154092,0.750130265841979,0.875,0.3333333333333333,0.4827586206896552,176,2,28,14,0.0
