epoch,train_loss,train_acc,val_loss,val_accuracy,val_balanced_accuracy,val_auroc,val_auprc,val_precision,val_recall,val_f1,val_tn,val_fp,val_fn,val_tp,lr
0,0.3665689361446044,0.8907407407407407,0.6451718136668205,0.8454545454545455,0.8681112894596041,0.9441546281433922,0.7513986419289239,0.5588235294117647,0.9047619047619048,0.6909090909090909,148,30,4,38,0.0009990133642141358
1,0.1853677674251444,0.9472222222222222,0.3681446649134159,0.8636363636363636,0.8065810593900482,0.8812199036918138,0.7636010665226247,0.625,0.7142857142857143,0.6666666666666666,160,18,12,30,0.000996057350657239
2,0.15348010795081363,0.9592592592592593,0.42950975336134434,0.8727272727272727,0.6939539860888175,0.7970840021401819,0.684825626339249,0.85,0.40476190476190477,0.5483870967741935,175,3,25,17,0.0009911436253643444
3,0.1469551004907664,0.9518518518518518,0.9590924941003323,0.5681818181818182,0.7149545211342964,0.8915195291599786,0.7687855954832707,0.3007518796992481,0.9523809523809523,0.45714285714285713,85,93,2,40,0.0009842915805643156
4,0.09720049842315562,0.9712962962962963,0.41421718522906303,0.85,0.643525949705725,0.8163456393793472,0.6367257147785297,0.7647058823529411,0.30952380952380953,0.4406779661016949,174,4,29,13,0.0009755282581475769
5,0.08461165088502799,0.9694444444444444,0.5412998525425792,0.8727272727272727,0.6848582129481006,0.71856607811664,0.588683866068284,0.8888888888888888,0.38095238095238093,0.5333333333333333,176,2,26,16,0.0009648882429441258
6,0.06853713905986618,0.9657407407407408,0.6940312720835209,0.8454545454545455,0.6225254146602461,0.5944355270197967,0.48967813504353824,0.7857142857142857,0.2619047619047619,0.39285714285714285,175,3,31,11,0.0009524135262330099
7,0.1108650839613641,0.9666666666666667,0.9560784548521042,0.6454545454545455,0.7445157838416265,0.8900481540930979,0.7984640454606114,0.3392857142857143,0.9047619047619048,0.4935064935064935,104,74,4,38,0.0009381533400219318
8,0.11774179120274152,0.9657407407407408,0.42735565826296806,0.8909090909090909,0.7324772605671481,0.7350187265917603,0.6674868607821224,0.9090909090909091,0.47619047619047616,0.625,176,2,22,20,0.0009221639627510075
9,0.07004223303759799,0.9796296296296296,0.7744141651783139,0.8363636363636363,0.5896201177100053,0.6124933119315141,0.4190852198602276,0.8,0.19047619047619047,0.3076923076923077,176,2,34,8,0.0009045084971874736
10,0.08275045837987871,0.9712962962962963,0.4076496856287122,0.8954545454545455,0.7443820224719101,0.8849652220438737,0.7705664639812227,0.9130434782608695,0.5,0.6461538461538462,176,2,21,21,0.0008852566213878945
11,0.07823578103938524,0.9777777777777777,1.457448422908783,0.35909090909090907,0.4311128945960407,0.4887640449438202,0.3966337032915989,0.15862068965517243,0.5476190476190477,0.24598930481283424,56,122,19,23,0.0008644843137107056
12,0.05082576163113117,0.9824074074074074,0.5732387234456837,0.8727272727272727,0.6757624398073836,0.8331995719636168,0.654419839565388,0.9375,0.35714285714285715,0.5172413793103449,177,1,27,15,0.0008422735529643443
13,0.04793076030910015,0.987037037037037,0.4444785341620445,0.8681818181818182,0.6911449973247725,0.7822364901016586,0.6485025332813106,0.8095238095238095,0.40476190476190477,0.5396825396825397,174,4,25,17,0.0008187119948743448
14,0.04359562856638256,0.9842592592592593,0.5924896446522325,0.8681818181818182,0.6638576779026217,0.8864365971107544,0.7513529700804814,0.9333333333333333,0.3333333333333333,0.49122807017543857,177,1,28,14,0.0007938926261462366
15,0.049308442455880785,0.9824074074074074,1.0046810983330943,0.8409090909090909,0.5924291064740503,0.6668004280363831,0.5203772972574867,0.8888888888888888,0.19047619047619047,0.3137254901960784,177,1,34,8,0.0007679133974894982
16,0.028343907557427883,0.9907407407407407,0.7149905804544687,0.8454545454545455,0.649812734082397,0.7853130016051364,0.5438784563381635,0.7,0.3333333333333333,0.45161290322580644,172,6,28,14,0.0007408768370508576
17,0.05420400492627831,0.9796296296296296,0.5545013267546892,0.9045454545454545,0.7772873194221508,0.8554039593365436,0.7377636666293599,0.8888888888888888,0.5714285714285714,0.6956521739130435,175,3,18,24,0.0007128896457825362
18,0.03960299382314963,0.9833333333333333,0.5789088623132557,0.8863636363636364,0.7114767255216693,0.8572766185125734,0.7556930404477624,0.9473684210526315,0.42857142857142855,0.5901639344262295,177,1,24,18,0.0006840622763423389
